,District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
0,Alabama District 1,Republican,Bradley Byrne,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
1,Alabama District 2,Republican,Martha Roby,9.3%,"246,090",Nathan Mathis,,,,,,,,,1,1.0,,
2,Alabama District 3,Republican,Mike Rogers,34.2%,"284,291",Jesse Smith,,,,,,,,,1,1.0,,
3,Alabama District 4,Republican,Robert Aderholt,100.0%,Pending,Unopposed,No,,,,,,"""I fall into the second group of people who believe, as do many very credible scientists, that the earth is currently in a natural warming cycle rather than a man-made climate change. Many scientists believe that natural cycles of warming and cooling have existed since the beginning of Earth. If we take the current models of climate prediction and apply those same models to what actually happened in the last thirty years, the models are shown to be very flawed. In addition, what knowledge we do have of a warming period in the Middle Ages cannot be explained by current models which are focused on greenhouse gas reductions.""",,1,1.0,,
4,Alabama District 5,Republican,Mo Brooks,21.8%,"336,368",Will Boyd,No,,,,,,"“I’m also old enough to remember when the same left-wing part of our society was creating a global cooling scare in order to generate funds for their pet projects. So 30-some years ago the big scare was global cooling, and once they drained that [topic], they shifted to global warming. So I’m approaching the issue with a healthy degree of skepticism. If the evidence is there to prove it, then so be it.”",,1,1.0,,
5,Alabama District 6,Republican,Gary Palmer,49.5%,"322,193",David Putman,No,,,,,,"“I have a long history of advocating for common sense environmentalism while fighting environmental alarmism. This hearing demonstrated that our current path is based on alarmism. As Dr. Curry testified at the hearing, climate has always changed and always will change, and the models that proponents of vastly reduced carbon emissions rely upon to justify their preferred policies, have proven inaccurate.”",,1,1.0,,
6,Alabama District 7,Democratic,Terri Sewell,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
7,Alaska's At-Large District,Republican,Don Young,14.0%,"248,775",Steve Lindbeck,No,,,,,,"Young said ""we have to adapt” to climate change but “the arrogance of mankind thinking they can do everything good and everything bad is beyond my imagination. This is not a new thing, never been a new thing.” He then said plenty of scientists “say this is all hogwash, that man is not involved … I’m not changing. I know exactly where I’m headed. I’ll probably be right in the long run.”",,1,1.0,,
8,Arizona District 1,Democratic,Tom O'Halleran,7.3%,"230,406",Paul Babeu,,,,,,,,,1,0.0,,
9,Arizona District 2,Republican,Martha McSally,13.3%,"278,249",Matt Heinz,,,,,,,,,1,1.0,,
10,Arizona District 3,Democratic,Raul Grijalva,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
11,Arizona District 4,Republican,Paul Gosar,43.0%,"240,361",Mikel Weisser,No,,,,,,"""More troubling is the fact that this climate change talk has adopted all of the socialist talking points, wrapped false science and ideology into ‘climate justice’ and is being presented to guilt people into leftist policies.”",,1,1.0,,
12,Arizona District 5,Republican,Andy Biggs,26.3%,"250,205",Talia Fuentes,,,,,,,,,1,0.0,,
13,Arizona District 6,Republican,David Schweikert,23.0%,"257,986",John Williamson,No,,,,,,"“When you think about the complexity of a worldwide system and the amount of data you’d have to capture, and how you adjust for a sunspot, and how you adjust for a hurricane and I think it’s incredibly arrogant for the Al Gores of the world to stand up and say the world is coming to an end.”",,1,1.0,,
14,Arizona District 7,Democratic,Ruben Gallego,49.2%,"118,259",Eve Nunez,,,,,,,,,1,1.0,,
15,Arizona District 8,Republican,Trent Franks,37.1%,"241,556",Mark Salazar,No,,,,,,"“While I am concerned about the potential effects of global warming, I have yet to see clear and convincing evidence that it exists beyond historical fluctuations.”",,1,1.0,,
16,Arizona District 9,Democratic,Kyrsten Sinema,22.2%,"216,418",Dave Giles,,,,,,,,,1,1.0,,
17,Arkansas District 1,Republican,Rick Crawford,53.0%,"239,268",Mark West,No,,,,,,"Crawford fielded a question regarding climate change and President Obama’s environmental agenda while speaking to radio station KASU 91.9 FM. “There’s not sound science to support some of the initiatives that the President, I think, is committed to. We know that some of the research was faulty and it drove a lot of the agenda for a long time. And then it turned out there were some questions about the validity of that research.” He continued, “I don’t see a lot of the green initiatives that are being talked about being supported by scientific data, but more supported by political agendas.”",,1,1.0,,
18,Arkansas District 2,Republican,French Hill,21.6%,"301,436",Dianne Curry,,,,,,,,,1,1.0,,
19,Arkansas District 3,Republican,Steve Womack,54.7%,"277,061",Steve Isaacson,,,,,,,,,1,1.0,,
20,Arkansas District 4,Republican,Bruce Westerman,49.8%,"242,890",Kerry Hicks,No,,,,,,“You did state rather emphatically and include in your written testimony that carbon pollution is the biggest driver of climate change. That obviously is debatable it’s been debated here quite a bit. But I want to go past that and pretend with you that carbon is arch enemy number one.”,,1,1.0,,
21,California District 1,Republican,Doug LaMalfa,18.9%,"268,769",Jim Reed,No,,,,,,"“There’s a lot coming out lately about the sun going into a cooler phase because we’re not getting the sunspot activity, so it’s starting to blow up the global warming idea, which if you’re tracking temperatures haven’t really edged up in at least 18 years.”",,1,1.0,,
22,California District 2,Democratic,Jared Huffman,53.1%,"209,804",Dale Mensing,,,,,,,,,1,1.0,,
23,California District 3,Democratic,John Garamendi,17.3%,"207,012",Eugene Cleek,,,,,,,,,1,1.0,,
24,California District 4,Republican,Tom McClintock,25.4%,"271,472",Bob Derlet,No,,,,,,"“The planet has been warming — on and off — since the last ice age, when glaciers covered much of North America. The climate has been changing since the planet formed, often much more abruptly than it has in recent millennia. Until the earth begins moving into its next ice age, we can reasonably expect it to continue to warm. That will mean less water can be stored in snow packs and therefore more will need to be stored behind dams.”",,1,1.0,,
25,California District 5,Democratic,Mike Thompson,54.4%,"212,468",Carlos Santamaria,,,,,,,,,1,1.0,,
26,California District 6,Democratic,Doris Matsui,50.1%,"177,508",Robert Evans,,,,,,,,,1,1.0,,
27,California District 7,Democratic,Ami Bera,2.1%,"234,094",Scott Jones,,,,,,,,,1,1.0,,
28,California District 8,Republican,Paul Cook,26.2%,"199,895",Rita Ramirez,,,,,,,,,1,1.0,,
29,California District 9,Democratic,Jerry McNerney,14.2%,"158,976",Antonio Amador,,,,,,,,,1,1.0,,
30,California District 10,Republican,Jeff Denham,4.4%,"201,247",Michael Eggman,No,,,,,,"“Nobody really knows the cause. The Earth cools, the Earth warms … It could be caused by carbon dioxide or methane. Maybe we should kill the cows to stop the methane, or stop breathing to stop the CO2 … Thousands of people die every year of cold, so if we had global warming it would save lives … We ought to look out for people. The Earth can take care of itself.”",,1,1.0,,
31,California District 11,Democratic,Mark DeSaulnier,43.2%,"258,346",Roger Petersen,,,,,,,,,1,1.0,,
32,California District 12,Democratic,Nancy Pelosi,62.4%,"280,895",Preston Picus,,,,,,,,,1,1.0,,
33,California District 13,Democratic,Barbara Lee,81.5%,"275,475",Sue Caro,,,,,,,,,1,1.0,,
34,California District 14,Democratic,Jackie Speier,61.8%,"232,685",Angel Cardenas,,,,,,,,,1,1.0,,
35,California District 15,Democratic,Eric Swalwell,47.0%,"223,391",Danny Turner,,,,,,,,,1,1.0,,
36,California District 16,Democratic,Jim Costa,15.4%,"123,598",Johnny Tacherra,,,,,,,,,1,1.0,,
37,California District 17,Democratic,Ro Khanna,22.1%,"215,604",Mike Honda,,,,,,,,,1,0.0,,
38,California District 18,Democratic,Anna Eshoo,42.4%,"291,112",Richard Fox,,,,,,,,,1,1.0,,
39,California District 19,Democratic,Zoe Lofgren,47.9%,"229,146",G. Burt Lancaster,,,,,,,,,1,1.0,,
40,California District 20,Democratic,Jimmy Panetta,40.0%,"161,775",Casey Lucius,,,,,,,,,1,0.0,,
41,California District 21,Republican,David Valadao,15.7%,"113,819",Emilio Huerta,,,,,,,,,1,1.0,,
42,California District 22,Republican,Devin Nunes,37.0%,"183,429",Louie Campos,No,,,,,,"Nunes has questioned questions humans’ contribution to climate change: “Scientists admit that they cannot be sure whether the Earth’s temperature is rising due to cyclical warming and cooling processes, or whether and how much humans are influencing it,” he said. He has also called the science behind human-caused climate change “emotional junk science” and accused “environmental extremists” of adopting it “as a religion.”",,1,1.0,,
43,California District 23,Republican,Kevin McCarthy,40.9%,"207,120",Wendy Reed,,,,,,,,,1,1.0,,
44,California District 24,Democratic,Salud Carbajal,6.8%,"255,351",Justin Fareed,,,,,,,,,1,0.0,,
45,California District 25,Republican,Stephen Knight,9.0%,"188,737",Bryan Caforio,,,,,,,,,1,1.0,,
46,California District 26,Democratic,Julia Brownley,19.9%,"224,457",Rafael Dagnesses,,,,,,,,,1,1.0,,
47,California District 27,Democratic,Judy Chu,32.8%,"187,843",Jack Orswell,,,,,,,,,1,1.0,,
48,California District 28,Democratic,Adam Schiff,56.0%,"200,591",Lenore Solis,,,,,,,,,1,1.0,,
49,California District 29,Democratic,Tony Cardenas,50.3%,"122,842",Richard Alarcon,,,,,,,,,1,1.0,,
50,California District 30,Democratic,Brad Sherman,44.7%,"208,527",Mark Reed,,,,,,,,,1,1.0,,
51,California District 31,Democratic,Pete Aguilar,11.0%,"193,492",Paul Chabot,,,,,,,,,1,1.0,,
52,California District 32,Democratic,Grace Napolitano,24.5%,"138,888",Roger Hernandez,,,,,,,,,1,1.0,,
53,California District 33,Democratic,Ted Lieu,33.0%,"244,162",Kenneth Wright,,,,,,,,,1,1.0,,
54,California District 34,Democratic,Xavier Becerra,57.1%,"115,218",Adrienne Nicole Edwards,,,,,,,,,1,1.0,,
55,California District 35,Democratic,Norma Torres,43.2%,"146,850",Tyler Fischella,,,,,,,,,1,1.0,,
56,California District 36,Democratic,Raul Ruiz,22.2%,"193,010",Jeff Stone,,,,,,,,,1,1.0,,
57,California District 37,Democratic,Karen Bass,64.4%,"170,679",Chris Blake Wiggins,,,,,,,,,1,1.0,,
58,California District 38,Democratic,Linda Sanchez,39.6%,"172,684",Ryan Downing,,,,,,,,,1,1.0,,
59,California District 39,Republican,Edward Royce,16.5%,"218,423",Brett Murdock,,,,,,,,,1,1.0,,
60,California District 40,Democratic,Lucille Roybal-Allard,44.0%,"108,717",Roman Gonzalez,,,,,,,,,1,1.0,,
61,California District 41,Democratic,Mark Takano,27.3%,"158,430",Doug Shepherd,,,,,,,,,1,1.0,,
62,California District 42,Republican,Ken Calvert,18.4%,"211,284",Tim Sheridan,No,,,,,,"Calvert co-sponsored H.Res.954, a resolution that stated: “Whereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the ‘CRU’) which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.”",,1,1.0,,
63,California District 43,Democratic,Maxine Waters,51.3%,"157,733",Omar Navarro,,,,,,,,,1,1.0,,
64,California District 44,Democratic,Nanette Barragan,2.0%,"129,708",Isadore Hall,,,,,,,,,1,0.0,,
65,California District 45,Republican,Mimi Walters,18.9%,"269,084",Ron Varasteh,,,,,,,,,1,1.0,,
66,California District 46,Democratic,Lou Correa,39.9%,"129,654",Bao Nguyen,,,,,,,,,1,0.0,,
67,California District 47,Democratic,Alan Lowenthal,25.0%,"186,499",Andy Whallon,,,,,,,,,1,1.0,,
68,California District 48,Republican,Dana Rohrabacher,17.6%,"264,352",Suzanne Savary,No,,,,,,"“Just so you’ll know, global warming is a total fraud and it’s being designed because what you’ve got is you’ve got liberals who get elected at the local level want state government to do the work and let them make the decisions. Then, at the state level, they want the federal government to do it. And at the federal government, they want to create global government to control all of our lives.”",,1,1.0,,
69,California District 49,Republican,Darrell Issa,1.9%,"241,550",Douglas Applegate,No,,,,,,“One of the difficulties in examining the issue of the climate change and greenhouse gases is that there is a wide range of scientific opinion on this issue and the science community does not agree to the extent of the problem or the critical threshold of when this problem is truly catastrophic.”,,1,1.0,,
70,California District 50,Republican,Duncan Hunter,28.0%,"215,634",Patrick Malloy,No,,,,,,“There is climate change. Is there human-caused climate change? I don’t buy that.”,,1,1.0,,
71,California District 51,Democratic,Juan Vargas,43.9%,"128,119",Juan Hidalgo Jr.,,,,,,,,,1,1.0,,
72,California District 52,Democratic,Scott Peters,13.0%,"237,754",Denise Gitsham,,,,,,,,,1,1.0,,
73,California District 53,Democratic,Susan Davis,32.2%,"211,593",James Veltmeyer,,,,,,,,,1,1.0,,
74,Colorado District 1,Democratic,Diana DeGette,39.5%,"285,317",Casper Stockham,,,,,,,,,1,1.0,,
75,Colorado District 2,Democratic,Jared Polis,19.4%,"443,866",Nicholas Morse,,,,,,,,,1,1.0,,
76,Colorado District 3,Republican,Scott Tipton,14.0%,"351,707",Gail Schwartz,No,,,,,,"“Tipton conceded that climate change exists, but argued that it’s caused by natural climate cycles rather than humans. ‘Here in the state of Colorado as our tree rings demonstrate, we’ve had droughts long before there were very many people here,’ the Tea Party freshman argued. Acknowledging that humans can affect the climate is futile because it would ‘divide America,’ said Tipton.”",,1,1.0,,
77,Colorado District 4,Republican,Ken Buck,32.3%,"378,598",Bob Seay,No,,,,,,"“Inhofe was the first person to stand up and say this global warming is the greatest hoax that has been perpetrated. The evidence just keeps supporting his view, and more and more people’s view, of what’s going on.”",,1,1.0,,
78,Colorado District 5,Republican,Doug Lamborn,32.0%,"356,062",Misty Plowright,No,,,,,,"“We must always strive to be good stewards of our environment. However, we must not cripple our economy and potential for growth and development with hugely expensive costs based on assertions that are being disputed and questioned within the scientific community,” Lamborn said. He has also said there are “a lot of contentious facts and claims about global warming and whether it is man made and ‘not much unanimity’ about it.”",,1,1.0,,
79,Colorado District 6,Republican,Mike Coffman,9.0%,"352,284",Morgan Carroll,No,,,,,,"“There is no question that climate change is real and has existed since the beginning of time, and will always be a factor that can negatively impact our environment. The role that carbon emissions, from human activity, have on climate change is still a subject of debate. But what is clear is that we should do all that we can to reduce carbon emissions in order to improve the quality of our environment. However, we should do so under a balanced approach that considers the economic impact of the rate at which we reduce our carbon emissions.”",,1,1.0,,
80,Colorado District 7,Democratic,Ed Perlmutter,15.2%,"335,283",George Athanasopoulos,,,,,,,,,1,1.0,,
81,Connecticut District 1,Democratic,John Larson,29.3%,"303,537",Matthew Corey,,,,,,,,,1,1.0,,
82,Connecticut District 2,Democratic,Joe Courtney,29.1%,"329,519",Daria Novak,,,,,,,,,1,1.0,,
83,Connecticut District 3,Democratic,Rosa DeLauro,37.3%,"304,270",Angel Cadena,,,,,,,,,1,1.0,,
84,Connecticut District 4,Democratic,Jim Himes,20.1%,"309,558",John Shaban,,,,,,,,,1,1.0,,
85,Connecticut District 5,Democratic,Elizabeth Esty,15.9%,"301,630",Clay Cope,,,,,,,,,1,1.0,,
86,Delaware's At-Large District,Democratic,Lisa Blunt Rochester,14.6%,"420,593",Hans Reigle,,,,,,,,,1,0.0,,
87,Florida District 1,Republican,Matt Gaetz,38.2%,"367,866",Steven Specht,,,,,,,,,1,0.0,,
88,Florida District 2,Republican,Neal Dunn,37.4%,"342,818",Walter Dartland,,,,,,,,,1,0.0,,
89,Florida District 3,Republican,Ted Yoho,16.9%,"341,387",Kenneth McGurn,No,,,,,,"When asked by ThinkProgress’s Scott Keyes if climate change was caused by human action Yoho said, “No. I think it’s a natural occurrence. I think we need to be good stewards of the resources we have and we need to get better, which we have, through technology and innovation.”",,1,1.0,,
90,Florida District 4,Republican,John Rutherford,42.7%,"407,261",David Bruderly,,,,,,,,,1,0.0,,
91,Florida District 5,Democratic,Al Lawson,28.4%,"301,214",Glo Smith,,,,,,,,,1,0.0,,
92,Florida District 6,Republican,Ron DeSantis,17.2%,"363,857",William McCullough,,,,,,,,,1,1.0,,
93,Florida District 7,Democratic,Stephanie Murphy,2.9%,"353,170",John Mica,,,,,,,,,1,0.0,,
94,Florida District 8,Republican,Bill Posey,30.6%,"390,143",Corry Westbrook,No,,,,,,"Posey told White House science advisor John Holdren that global warming is a ""natural phenomenon,"" and says that ""we were worried about global cooling before Gore invented the Internet.""",,1,1.0,,
95,Florida District 9,Democratic,Darren Soto,14.9%,"339,244",Wayne Liebnitzky,,,,,,,,,1,0.0,,
96,Florida District 10,Democratic,Val Demings,29.7%,"305,732",Thuy Lowe,,,,,,,,,1,0.0,,
97,Florida District 11,Republican,Daniel Webster,33.8%,"394,441",Dave Koller,,,,,,,,,1,1.0,,
98,Florida District 12,Republican,Gus Bilirakis,37.2%,"369,256",Robert Tager,,,,,,,,,1,1.0,,
99,Florida District 13,Democratic,Charlie Crist,3.8%,"355,335",David Jolly,,,,,,,,,1,0.0,,
100,Florida District 14,Democratic,Kathy Castor,23.5%,"315,435",Christine Quinn,,,,,,,,,1,1.0,,
101,Florida District 15,Republican,Dennis Ross,15.0%,"317,443",Jim Lange,No,,,,,,"Ross told ThinkProgress, “Climate change has gone on for millions of years. I think we are contributing to some climate change, but I am not accepting all the theories that are out there that say climate change is what it is because of us.”",,1,1.0,,
102,Florida District 16,Republican,Vern Buchanan,19.6%,"385,041",Jan Schneider,,,,,,,,,1,1.0,,
103,Florida District 17,Republican,Thomas Rooney,27.6%,"338,272",April Freeman,,,,,,,,,1,1.0,,
104,Florida District 18,Republican,Brian Mast,10.6%,"374,790",Randy Perkins,,,,,,,,,1,0.0,,
105,Florida District 19,Republican,Francis Rooney,31.8%,"362,600",Robert Neeld,,,,,,,,,1,0.0,,
106,Florida District 20,Democratic,Alcee Hastings,60.6%,"274,531",Gary Stein,,,,,,,,,1,1.0,,
107,Florida District 21,Democratic,Lois Frankel,27.5%,"333,420",Paul Spain,,,,,,,,,1,1.0,,
108,Florida District 22,Democratic,Ted Deutch,18.0%,"335,087",Andrea Leigh McGee,,,,,,,,,1,1.0,,
109,Florida District 23,Democratic,Debbie Wasserman Schultz,16.2%,"319,314",Joe Kaufman,,,,,,,,,1,1.0,,
110,Florida District 24,Democratic,Frederica Wilson,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
111,Florida District 25,Republican,Mario Diaz-Balart,24.8%,"252,756",Alina Valdes,No,,,,,,"“I know there’s a lot of money to be made on the bandwagon of global warming, you can make movies, documentaries, get a lot of research money — and that’s okay, I love capitalism … My fear is using the bandwagon of global warming to have Congress act on some knee-jerk reaction which will please some editorialists, will hurt our economy, will not do anything to help us in the future.”",,1,1.0,,
112,Florida District 26,Republican,Carlos Curbelo,11.8%,"280,284",Joe Garcia,,,,,,,,,1,1.0,,
113,Florida District 27,Republican,Ileana Ros-Lehtinen,9.8%,"287,311",Scott Fuhrman,,,,,,,,,1,1.0,,
114,Georgia District 1,Republican,"Earl ""Buddy"" Carter",100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
115,Georgia District 2,Democratic,"Sanford Bishop, Jr.",22.1%,"239,676",Greg Duke,,,,,,,,,1,1.0,,
116,Georgia District 3,Republican,Drew Ferguson,36.7%,"302,666",Angela Pendley,,,,,,,,,1,0.0,,
117,Georgia District 4,Democratic,Hank Johnson,51.2%,"283,353",Victor Armendariz,,,,,,,,,1,1.0,,
118,Georgia District 5,Democratic,John Lewis,69.2%,"285,805",Douglas Bell,,,,,,,,,1,1.0,,
119,Georgia District 6,Republican,Tom Price,23.2%,"311,328",Rodney Stooksbury,No,,,,,,"“This decision goes against all common sense, especially considering the many recent revelations of errors and obfuscation in the allegedly ‘settled science’ of global warming.”",,1,1.0,,
120,Georgia District 7,Republican,Rob Woodall,20.9%,"287,231",Rashid Malik,,,,,,,,,1,1.0,,
121,Georgia District 8,Republican,Austin Scott,35.4%,"253,432",James Neal Harris,,,,,,,,,1,1.0,,
122,Georgia District 9,Republican,Doug Collins,100.0%,Pending,Unopposed,No,,,,,,"When asked if he believes human activity is contributing to climate change, Collins answered “no.”",,1,1.0,,
123,Georgia District 10,Republican,Jody Hice,100.0%,Pending,Unopposed,No,,,,,,“The Radical Environmental Movement with former Vice President Al Gore as its poster boy has propagandized the theory of impending environmental disaster due to ‘Global Warming.’…The theory is that so-called global warming is caused by greenhouse gases caused by carbon-based fuels.”,,1,1.0,,
124,Georgia District 11,Republican,Barry Loudermilk,35.0%,"321,173",Don Wilson,No,,,,,,“I believe that climate change is a function of nature; the climate has been changing as long as the Earth has existed.”,,1,1.0,,
125,Georgia District 12,Republican,Rick Allen,23.2%,"257,575",Tricia Carpenter McCracken,No,,,,,,"In response to an Atlanta Journal-Constitution question, Allen “vehemently rejected the idea that warming is an established fact,” asserting in writing that the “science is definitely NOT settled.”",,1,1.0,,
126,Georgia District 13,Democratic,David Scott,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
127,Georgia District 14,Republican,Tom Graves,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
128,Hawaii District 1,Democratic,Colleen Hanabusa,49.2%,"202,276",Shirlene Ostrov,,,,,,,,,1,1.0,,
129,Hawaii District 2,Democratic,Tulsi Gabbard,62.3%,"210,491",Angela Aulani Kaaihue,,,,,,,,,1,1.0,,
130,Idaho District 1,Republican,Raul Labrador,36.1%,"347,432",James Piotrowski,No,,,,,,"“It’s interesting that about a decade ago there was a lot of talk about ‘global warming.’ Thirty years ago we were talking about ‘global cooling.’ Now all we hear about is ‘climate change.’ There has been evidence throughout history of cycles when the earth gets warmer and cycles when the earth gets colder. We should always be wise stewards of the earth and all of our natural resources. But as a policymaker, I won't be guided by the global warming propaganda machine. Al Gore - we need you to return your Nobel Peace Prize!”",,1,1.0,,
131,Idaho District 2,Republican,Michael Simpson,33.7%,"331,712",Jennifer Martinez,,,,,,,,,1,1.0,,
132,Illinois District 1,Democratic,Bobby Rush,46.9%,"301,712",August (O'Neill) Deuser,,,,,,,,,1,1.0,,
133,Illinois District 2,Democratic,Robin Kelly,59.2%,"287,972",John Morrow,,,,,,,,,1,1.0,,
134,Illinois District 3,Democratic,Daniel Lipinski,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
135,Illinois District 4,Democratic,Luis Gutierrez,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
136,Illinois District 5,Democratic,Mike Quigley,40.0%,"298,781",Vince Kolber,,,,,,,,,1,1.0,,
137,Illinois District 6,Republican,Peter Roskam,19.0%,"345,769",Amanda Howland,No,,,,,,“Roskam drew the ire of the crowd by calling global warming junk science.”,,1,1.0,,
138,Illinois District 7,Democratic,Danny K. Davis,68.0%,"276,564",Jeffrey Leef,,,,,,,,,1,1.0,,
139,Illinois District 8,Democratic,Raja Krishnamoorthi,16.1%,"243,031",Pete DiCianni,,,,,,,,,1,0.0,,
140,Illinois District 9,Democratic,Janice Schakowsky,32.0%,"309,754",Joan McCarthy Lasonde,,,,,,,,,1,1.0,,
141,Illinois District 10,Democratic,Brad Schneider,5.0%,"280,682",Robert Dold,,,,,,,,,1,0.0,,
142,Illinois District 11,Democratic,Bill Foster,19.7%,"263,421",Tonia Khouri,,,,,,,,,1,1.0,,
143,Illinois District 12,Republican,Mike Bost,14.6%,"311,700",C.J. Baricevic,No,,,,,,"In a 2014 interview with St. Louis Public Radio, Bost disagreed with his opponent and now former Democratic Congressman Bill Enyart over whether climate change is real. “I don’t. I don’t know that I do; no,” Bost said. “Some scientists do; some scientists don’t” believe in climate change he said.",,1,1.0,,
144,Illinois District 13,Republican,Rodney Davis,19.5%,"312,723",Mark Wicklund,No,,,,,,"During an interview with Illinois Public Media radio, a constituent asked Representative Rodney Davis what he planned to do to combat climate change, and he responded that “global warming has stopped 16 years ago.” He then went on the say that climate change is real but the debate is over whether or not it is manmade or natural.",,1,1.0,,
145,Illinois District 14,Republican,Randy Hultgren,19.0%,"332,324",Jim Walz,No,,,,,,"“The greatest impact on our climate clearly is the sun, and we have very little impact on the sun and how much energy and temperature the sun is sending to the earth. We have seen clearly over thousands of years that at different times more energy has come through and different times less energy has come through, and that variation has impacted climate change. Over the thousands of years that’s been recorded we’ve had both colder times and warmer times. It happens to be that we’ve recently come out of a warmer time and now actually we’re headed in to a little bit of a colder time, the impact of the sun is much different than impact that we could have had.”",,1,1.0,,
146,Illinois District 15,Republican,John Shimkus,100.0%,Pending,Unopposed,No,,,,,,"""And I do believe that God said the Earth would not be destroyed by a flood. Now, do I believe in climate change? In my trip to Greenland, the answer is yes. The climate is changing…The question is more about the costs and benefits and trying to spend taxpayer dollars on something that you cannot stop versus the changes that have been occurring forever. That's the real debate.""",,1,1.0,,
