,District,Party,Representative,MarginOfVictory,TotalVotes,MainOpposition,BelieveClimateChange,BirthDate,DateInOffice,AgeAtTakingOfficeYear,YearsInOffice,AgeAtTakingOfficeDay,NotableQuote,YearNextElection,114Member,115Member,ProportionOfConstituentsWhoBelieveInClimateChange,PercentMarginOfPresidentialCandidateVictory
147,Illinois District 16,Republican,Adam Kinzinger,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
148,Illinois District 17,Democratic,Cheri Bustos,20.3%,"283,887",Patrick Harlan,,,,,,,,,1,1.0,,
149,Illinois District 18,Republican,Darin LaHood,44.4%,"344,442",Junius Rodriguez,,,,,,,,,1,1.0,,
150,Indiana District 1,Democratic,Peter Visclosky,63.0%,"254,308",Donna Dunn,,,,,,,,,1,1.0,,
151,Indiana District 2,Republican,Jackie Walorski,22.3%,"277,202",Lynn Coleman,,,,,,,,,1,1.0,,
152,Indiana District 3,Republican,Jim Banks,47.2%,"286,906",Tommy Schrader,,,,,,,,,1,0.0,,
153,Indiana District 4,Republican,Todd Rokita,34.1%,"299,183",John Dale,No,,,,,,"“We also agree that the science behind climate change is not conclusive. Meanwhile, most human emissions, which are far less than natural CO2 emissions, derive from electricity, transportation, and industry. These are the engines of change that have modernized and improved our lives.”",,1,1.0,,
154,Indiana District 5,Republican,Susan Brooks,27.2%,"360,900",Angela Demaree,,,,,,,,,1,1.0,,
155,Indiana District 6,Republican,Luke Messer,42.5%,"296,244",Barry Welsh,,,,,,,,,1,1.0,,
156,Indiana District 7,Democratic,Andre Carson,24.3%,"264,472",Catherine Ping,,,,,,,,,1,1.0,,
157,Indiana District 8,Republican,Larry Bucshon,32.0%,"294,329",Ron Drake,No,,,,,,"“It’s not about affecting the global temperature and climate change. There’s public comments out there that that question has been answered saying ‘no…’ Of all the climatologists whose career depends on the climate changing to keep themselves publishing articles, yes I could read that. But I don’t believe it.”",,1,1.0,,
158,Indiana District 9,Republican,Trey Hollingsworth,13.7%,"322,654",Shelli Yoder,,,,,,,,,1,0.0,,
159,Iowa District 1,Republican,Rod Blum,7.8%,"382,720",Monica Vernon,No,,,,,,"“Well, it’s interesting. I can see why the average citizen is skeptical about this. I guess you can put me in that camp. I’m skeptical … I’m not a scientist, and I know most scientists’ paychecks come from the federal government, and so right away that makes me a bit skeptical. Thirty years ago we were going into a global cooling period. That makes me skeptical.”",,1,1.0,,
160,Iowa District 2,Democratic,Dave Loebsack,7.0%,"368,331",Christopher Peters,,,,,,,,,1,1.0,,
161,Iowa District 3,Republican,David Young,13.7%,"389,137",Jim Mowrer,No,,,,,,"“I’ve seen, like a lot of people, credible studies on both sides of this issue. I do know one thing for sure: We need to use sound science and not put this into a political science box. We need to make sure also that if this is going to be put through public policy, it needs to not be done unilaterally through this administration, through executive order, or by the EPA.”",,1,1.0,,
162,Iowa District 4,Republican,Steve King,22.8%,"367,854",Kim Weaver,No,,,,,,"At an event sponsored by the Koch-funded Americans for Prosperity, King told the audience that climate change “is not proven, it’s not science. It’s more of a religion than a science.” More recently he suggested climate scientists “have collected a lot of money from donors in government and created a science that’s awfully hard to sustain.” He also said that more carbon dioxide in the atmosphere could be good. “Everything that might result from a warmer planet is always bad in [environmentalists’] analysis,” King said. “There will be more photosynthesis going on if the Earth gets warmer … And if sea levels go up 4 or 6 inches, I don’t know if we’d know that.”",,1,1.0,,
163,Kansas District 1,Republican,Roger Marshall,39.8%,"250,684",Kerry Burt,,,,,,,,,1,0.0,,
164,Kansas District 2,Republican,Lynn Jenkins,29.0%,"291,112",Britani Potter,,,,,,,,,1,1.0,,
165,Kansas District 3,Republican,Kevin Yoder,10.7%,"334,322",Jay Sidie,,,,,,,,,1,1.0,,
166,Kansas District 4,Republican,Mike Pompeo,31.6%,"268,006",Daniel Giroux,No,,,,,,"When asked if he believes global warming is a problem, Pompeo responded: “Look, I think the science needs to continue to develop. I’m happy to continue to look at it. There are scientists who think lots of different things about climate change. There’s some who think we’re warming, there’s some who think we’re cooling, there’s some who think that the last 16 years have shown a pretty stable climate environment.”",,1,1.0,,
167,Kentucky District 1,Republican,James Comer,45.0%,"298,667",Sam Gaskins,,,,,,,,,1,1.0,,
168,Kentucky District 2,Republican,Brett Guthrie,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
169,Kentucky District 3,Democratic,John Yarmuth,27.0%,"334,473",Harold Bratcher,,,,,,,,,1,1.0,,
170,Kentucky District 4,Republican,Thomas Massie,42.6%,"327,986",Calvin Sidle,No,,,,,,"Thomas Massie challenged President Obama to roll out the proof that humans have played a hand in climate change. Massie said he was “disappointed” that the president in his second inaugural address blamed droughts on “human activity” and accused some of “denying the evidence of scientists,” the Washington Times reported. “As somebody with a science-type background, I took offense at that,” Mr. Massie said during a panel meeting billed as “Conversations With Conservatives.” “I would challenge him to show us the linkage — the undeniable linkage — between droughts and the change of weather, and some kind of human activity.”",,1,1.0,,
171,Kentucky District 5,Republican,Hal Rogers,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
172,Kentucky District 6,Republican,Andy Barr,22.2%,"330,819",Nancy Jo Kemper,,,,,,,,,1,1.0,,
173,Louisiana District 1,Republican,Steve Scalise,61.8%,"326,660",Lee Ann Dugas,No,,,,,,"“While their global warming agenda continues to lose support, it’s ironic that radical environmentalists are at it again, less than a month after NOAA (National Oceanic and Atmospheric Administration), announced the Great Lakes had the most widespread ice coverage in over 35 years. Thirty years ago liberals were using global cooling to push new radical regulations. Then they shifted their focus to global warming in an effort to prop up wave after wave of job-killing regulations that are leading to skyrocketing food and energy costs.”",,1,1.0,,
174,Louisiana District 2,Democratic,Cedric Richmond,49.7%,"284,078",Kip Holden,,,,,,,,,1,1.0,,
175,Louisiana District 3,Pending,Pending,Pending,"304,439",Pending,,,,,,,,,1,1.0,,
176,Louisiana District 4,Pending,Pending,Pending,Pending,Pending,,,,,,,,,1,1.0,,
177,Louisiana District 5,Republican,Ralph Abraham,63.1%,"255,610",Billy Burkette,,,,,,,,,1,1.0,,
178,Louisiana District 6,Republican,Garret Graves,48.0%,"331,012",Richard Lieberman,,,,,,,,,1,1.0,,
179,Maine District 1,Democratic,Chellie Pingree,15.8%,"389,476",Mark Holbrook,,,,,,,,,1,1.0,,
180,Maine District 2,Republican,Bruce Poliquin,9.8%,"350,147",Emily Ann Cain,No,,,,,,"“Clearly our climate is changing; the question is, is man responsible for that climate change? I personally am suspect.”",,1,1.0,,
181,Maryland District 1,Republican,Andy Harris,39.7%,"338,118",Joe Werner,,,,,,,,,1,1.0,,
182,Maryland District 2,Democratic,Dutch Ruppersberger,29.0%,"276,953",Pat McDonough,,,,,,,,,1,1.0,,
183,Maryland District 3,Democratic,John Sarbanes,28.0%,"309,419",Mark Plaster,,,,,,,,,1,1.0,,
184,Maryland District 4,Democratic,Anthony Brown,52.5%,"294,520",George McDermott,,,,,,,,,1,1.0,,
185,Maryland District 5,Democratic,Steny Hoyer,37.6%,"332,383",Mark Arness,,,,,,,,,1,1.0,,
186,Maryland District 6,Democratic,John Delaney,14.4%,"302,053",Amie Hoeber,,,,,,,,,1,1.0,,
187,Maryland District 7,Democratic,Elijah Cummings,53.2%,"282,244",Corrogan Vaughn,,,,,,,,,1,1.0,,
188,Maryland District 8,Democratic,Jamie Raskin,23.7%,"323,172",Dan Cox,,,,,,,,,1,0.0,,
189,Massachusetts District 1,Democratic,Richard Neal,55.4%,"317,963",Frederick Mayock,,,,,,,,,1,1.0,,
190,Massachusetts District 2,Democratic,Jim McGovern,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
191,Massachusetts District 3,Democratic,Niki Tsongas,37.4%,"341,243",Ann Wofford,,,,,,,,,1,1.0,,
192,Massachusetts District 4,Democratic,Joseph Kennedy III,40.0%,"373,246",David Rosa,,,,,,,,,1,1.0,,
193,Massachusetts District 5,Democratic,Katherine Clark,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
194,Massachusetts District 6,Democratic,Seth Moulton,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
195,Massachusetts District 7,Democratic,Michael Capuano,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
196,Massachusetts District 8,Democratic,Stephen Lynch,44.8%,"370,090",William Burke,,,,,,,,,1,1.0,,
197,Massachusetts District 9,Democratic,William Keating,22.0%,"376,723",Mark Alliegro,,,,,,,,,1,1.0,,
198,Michigan District 1,Republican,Jack Bergman,15.6%,"363,630",Lon Johnson,,,,,,,,,1,0.0,,
199,Michigan District 2,Republican,Bill Huizenga,30.3%,"339,598",Dennis Murphy,No,,,,,,"“Today’s global warming doomsayers simply lack the scientific evidence to support their claims. A host of leaders in the scientific community have recognized that the argument for drastic anthropogenic global warming is no longer based on science, but is being driven by irrational fanaticism.”",,1,1.0,,
200,Michigan District 3,Republican,Justin Amash,21.9%,"341,602",Douglas Smith,No,,,,,,"Justin Amash shared an article on Facebook called “Climate change: this is the worst scientific scandal of our generation,” with the caption “The MEDC central planners continue to hand hundreds of millions of your dollars to private energy companies, using ‘climate change’ and ‘economic diversification’ as justification. Only among government officials and their apologists could such a villainous concentration of resources into a single industry be called ""diversification.""",,1,1.0,,
201,Michigan District 4,Republican,John Moolenaar,29.5%,"315,744",Debra Wirth,,,,,,,,,1,1.0,,
202,Michigan District 5,Democratic,Dan Kildee,26.1%,"318,877",Allen Hardwick,,,,,,,,,1,1.0,,
203,Michigan District 6,Republican,Fred Upton,22.2%,"328,972",Paul Clements,No,,,,,,"“We’ve experienced climate change for a long time, highs and lows. We had the coldest winter ever last winter. There was a report out that the Great Lakes are six degrees below what they were a year ago. I don’t know that climate scientists can really predict where we’re headed.”",,1,1.0,,
204,Michigan District 7,Republican,Tim Walberg,14.9%,"333,648",Gretchen Driskell,No,,,,,,"“I read scientists, editors … an equal number at the very least that say just the opposite that this is something that’s gone on for eons, that we go through these cycles.”",,1,1.0,,
205,Michigan District 8,Republican,Mike Bishop,16.9%,"366,934",Suzanna Shkreli,,,,,,,,,1,1.0,,
206,Michigan District 9,Democratic,Sander Levin,20.5%,"344,701",Christopher Morse,,,,,,,,,1,1.0,,
207,Michigan District 10,Republican,Paul Mitchell,30.7%,"339,734",Frank Accavitti Jr.,,,,,,,,,1,0.0,,
208,Michigan District 11,Republican,David Trott,12.7%,"378,304",Anil Kumar,,,,,,,,,1,1.0,,
209,Michigan District 12,Democratic,Debbie Dingell,35.1%,"327,770",Jeff Jones,,,,,,,,,1,1.0,,
210,Michigan District 13,Democratic,"John Conyers, Jr.",61.2%,"256,033",Jeff Gorman,,,,,,,,,1,1.0,,
211,Michigan District 14,Democratic,Brenda Lawrence,59.8%,"310,651",Howard Klausner,,,,,,,,,1,1.0,,
212,Minnesota District 1,Democratic,Tim Walz,0.7%,"335,524",Jim Hagedorn,,,,,,,,,1,1.0,,
213,Minnesota District 2,Republican,Jason Lewis,1.9%,"369,946",Angie Craig,,,,,,,,,1,0.0,,
214,Minnesota District 3,Republican,Erik Paulsen,13.7%,"392,313",Terri Bonoff,No,,,,,,"Representative Erik Paulsen who, when asked if he believes humans are contributing to global warming, responded, “I’m not smart enough to know.”",,1,1.0,,
215,Minnesota District 4,Democratic,Betty McCollum,23.3%,"350,538",Greg Ryan,,,,,,,,,1,1.0,,
216,Minnesota District 5,Democratic,Keith Ellison,47.0%,"361,376",Frank Drake,,,,,,,,,1,1.0,,
217,Minnesota District 6,Republican,Tom Emmer,31.4%,"358,396",David Snyder,No,,,,,,"“Biodiversity, diversity to me means you’ve got to look at both sides. You know what, the empirical evidence does not support this and the other reps that have talked. There is another side. Just because we make these chambers available to Will Steger and the crowd that wants to rely on Al Gore’s climate porn doesn’t mean that that’s the way it is. There is another side to the story, one that we tried to present a couple of months ago, but apparently it’s frowned upon by the folks that are in control so it doesn’t get the same play in this room. Folks, there is another side.”",,1,1.0,,
218,Minnesota District 7,Democratic,Collin Peterson,5.0%,"330,521",Dave Hughes,,,,,,,,,1,1.0,,
219,Minnesota District 8,Democratic,Rick Nolan,0.6%,"356,201",Stewart Mills,,,,,,,,,1,1.0,,
220,Mississippi District 1,Republican,Trent Kelly,41.0%,"295,087",Jacob Owens,,,,,,,,,1,1.0,,
221,Mississippi District 2,Democratic,Bennie Thompson,37.4%,"271,126",John Bouie II,,,,,,,,,1,1.0,,
222,Mississippi District 3,Republican,Gregg Harper,36.0%,"303,726",Dennis Quinn,No,,,,,,"“I don’t believe that the science is at all settled on man-made global warming,” Harper said. He has also claimed that data showing global climate change has been “skewed and manipulated.""",,1,1.0,,
223,Mississippi District 4,Republican,Steven Palazzo,37.5%,"268,234",Mark Gladney,,,,,,,,,1,1.0,,
224,Missouri District 1,Democratic,William Lacy Clay,55.5%,"306,810",Steven Bailey,,,,,,,,,1,1.0,,
225,Missouri District 2,Republican,Ann Wagner,21.0%,"407,617",Bill Otto,No,,,,,,“The field of climate science is in its relative infancy and it appears that some within the public policy world have made dubious assessments of scientific information in order to further their own political agenda. Our policy response to this dilemma should not be based on inconsistent and unsound science or driven by the fear of a supposed catastrophe.”,,1,1.0,,
226,Missouri District 3,Republican,Blaine Luetkemeyer,39.9%,"366,856",Kevin Miller,No,,,,,,"“Folks in Missouri and across the country are tired of this never ending government spending spree, and my goal is to deliver some of our people’s hard-earned money back into their pocketbooks instead of spending it on international junk science… Meanwhile, our very own Environmental Protection Agency recently reported that we are undergoing a period of worldwide cooling.”",,1,1.0,,
227,Missouri District 4,Republican,Vicky Hartzler,40.0%,"331,774",Gordon Christensen,No,,,,,,"Hartzler has tweeted, “Enjoying another beautiful global warming day in Missouri! Skelton and the UN Summit need to quit their dist. of wealth for a hoax.” And “Global warming strikes America! Brrrr!”",,1,1.0,,
228,Missouri District 5,Democratic,Emanuel Cleaver,20.0%,"317,455",Jacob Turk,,,,,,,,,1,1.0,,
229,Missouri District 6,Republican,Sam Graves,39.8%,"347,779",David Blackwell,,,,,,,,,1,1.0,,
230,Missouri District 7,Republican,Billy Long,40.2%,"337,467",Genevieve Williams,,,,,,,,,1,1.0,,
231,Missouri District 8,Republican,Jason Smith,52.0%,"308,656",Dave Cowell,,,,,,,,,1,1.0,,
232,Montana's At-Large District,Republican,Ryan Zinke,15.8%,"498,179",Denise Juneau,No,,,,,,"“It’s not a hoax, but it’s not proven science either. But you don’t dismantle America’s power and energy on a maybe. We need to be energy independent first. We need to do it better, which we can, but it is not a settled science.”",,1,1.0,,
233,Nebraska District 1,Republican,Jeff Fortenberry,39.1%,"269,197",Daniel Wik,,,,,,,,,1,1.0,,
234,Nebraska District 2,Republican,Don Bacon,2.0%,"272,087",Brad Ashford,,,,,,,,,1,0.0,,
235,Nebraska District 3,Republican,Adrian Smith,100.0%,Pending,Unopposed,No,,,,,,"In an interview with Nebraska Citizen, Smith was asked if he believes in global warming, to which he responded “No!” The reporter said that Smith believes many of the “facts” about global warming are in dispute.",,1,1.0,,
236,Nevada District 1,Democratic,Dina Titus,33.0%,"187,626",Mary Perry,,,,,,,,,1,1.0,,
237,Nevada District 2,Republican,Mark Amodei,21.4%,"312,711",Chip Evans,No,,,,,,"“The issue of climate change is very controversial and many scientists disagree as to its causes and how to handle it. I recognize that some scientists believe that global warming is caused by failed environmental practices; however, others argue that these temperature increases would incur regardless due to the warming of the center of the earth. I do not believe it is appropriate for the federal government to advocate one position over the other. Since, we do not know much about long-term climate change, I do agree we must have an unbiased research effort funded by both the government and the private sector to answer the essential questions about climate change.”",,1,1.0,,
238,Nevada District 3,Democratic,Jacky Rosen,1.3%,"310,510",Danny Tarkanian,,,,,,,,,1,0.0,,
239,Nevada District 4,Democratic,Ruben Kihuen,3.9%,"265,391",Cresent Hardy,,,,,,,,,1,0.0,,
240,New Hampshire District 1,Democratic,Carol Shea-Porter,1.3%,"366,339",Frank Guinta,,,,,,,,,1,0.0,,
241,New Hampshire District 2,Democratic,Annie Kuster,4.0%,"350,189",Jim Lawrence,,,,,,,,,1,1.0,,
242,New Jersey District 1,Democratic,Donald Norcross,22.9%,"298,523",Bob Patterson,,,,,,,,,1,1.0,,
243,New Jersey District 2,Republican,Frank LoBiondo,22.4%,"279,524",David Cole,,,,,,,,,1,1.0,,
244,New Jersey District 3,Republican,Tom MacArthur,21.0%,"297,025",Frederick John Lavergne,,,,,,,,,1,1.0,,
245,New Jersey District 4,Republican,Chris Smith,30.2%,"323,362",Lorna Phillipson,,,,,,,,,1,1.0,,
246,New Jersey District 5,Democratic,Josh Gottheimer,3.3%,"310,396",Scott Garrett,,,,,,,,,1,0.0,,
247,New Jersey District 6,Democratic,Frank Pallone,27.3%,"239,815",Brent Sonnek-Schmelz,,,,,,,,,1,1.0,,
248,New Jersey District 7,Republican,Leonard Lance,11.8%,"331,169",Peter Jacob,No,,,,,,“The disclosure of emails from the CRU is very troubling and merits a thorough and transparent investigation. Clearly there is a strong appearance that important scientific research may have been tainted by politics.”,,1,1.0,,
249,New Jersey District 8,Democratic,Albio Sires,58.0%,"157,032",Agha Khan,,,,,,,,,1,1.0,,
250,New Jersey District 9,Democratic,Bill Pascrell,41.5%,"218,108",Hector Castillo,,,,,,,,,1,1.0,,
251,New Jersey District 10,Democratic,Donald Payne Jr.,74.0%,"208,725",David Pinckney,,,,,,,,,1,1.0,,
252,New Jersey District 11,Republican,Rodney Frelinghuysen,19.4%,"331,104",Joseph Wenzel,No,,,,,,"“Do I believe in climate change? I do, yeah,’ he told National Journal in 2011. ‘With the weather patterns over the past five years… What causes it? Quite honestly, I don’t know…Humans have some effect on climate change. There’s so many factors.’”",,1,1.0,,
253,New Jersey District 12,Democratic,Bonnie Watson Coleman,30.3%,"257,020",Steven Uccio,,,,,,,,,1,1.0,,
254,New Mexico District 1,Democratic,Michelle Lujan Grisham,30.2%,"275,441",Richard Priem,,,,,,,,,1,1.0,,
255,New Mexico District 2,Republican,Steve Pearce,25.5%,"227,013",Merrie Soules,No,,,,,,"“I googled this issue a couple of days ago, see that there are 31,000 scientists who say that human action is not causing the global warming at all. And in fact the last 17 years there has not been global warming, the temperature has been very stable for the last 17 years.”",,1,1.0,,
256,New Mexico District 3,Democratic,Ben Ray Lujan,25.1%,"268,377",Michael H. Romero,,,,,,,,,1,1.0,,
257,New York District 1,Republican,Lee Zeldin,17.9%,"296,322",Anna Throne-Holst,No,,,,,,"“I think it would be very productive if we could just get to exactly what is really and what is not real, because I think both sides of the climate change debate are filled with people who are stretching truths. I’m not sold yet on the whole argument that we have as serious a problem with climate change as other people.”",,1,1.0,,
258,New York District 2,Republican,Peter King,25.0%,"275,558",DuWayne Gregory,No,,,,,,"“I don’t think anyone denies humans contribute,” King said. “It’s a question of how much.” [Climatewire, 6/4/15]",,1,1.0,,
259,New York District 3,Democratic,Tom Suozzi,5.0%,"298,338",Jack Martins,,,,,,,,,1,1.0,,
260,New York District 4,Democratic,Kathleen Rice,19.0%,"292,617",David Gurfein,,,,,,,,,1,1.0,,
261,New York District 5,Democratic,Gregory Meeks,72.5%,"215,478",Michael O'Reilly,,,,,,,,,1,1.0,,
262,New York District 6,Democratic,Grace Meng,44.9%,"175,275",Danniel Maio,,,,,,,,,1,1.0,,
263,New York District 7,Democratic,Nydia Velazquez,81.4%,"175,227",Allan Romaguera,,,,,,,,,1,1.0,,
264,New York District 8,Democratic,Hakeem Jeffries,86.6%,"213,909",Daniel Cavanagh,,,,,,,,,1,1.0,,
265,New York District 9,Democratic,Yvette Clarke,84.7%,"216,719",Alan Bellone,,,,,,,,,1,1.0,,
266,New York District 10,Democratic,Jerrold Nadler,54.9%,"219,816",Philip Rosenthal,,,,,,,,,1,1.0,,
267,New York District 11,Republican,Daniel Donovan,26.1%,"216,039",Richard Reichard,,,,,,,,,1,1.0,,
268,New York District 12,Democratic,Carolyn Maloney,65.9%,"264,146",Robert Ardini,,,,,,,,,1,1.0,,
269,New York District 13,Democratic,Adriano Espaillat,82.0%,"211,045",Tony Evans,,,,,,,,,1,0.0,,
270,New York District 14,Democratic,Joseph Crowley,65.2%,"162,935",Frank Spotorno,,,,,,,,,1,1.0,,
271,New York District 15,Democratic,Jose E. Serrano,91.7%,"157,114",Alejandro Vega,,,,,,,,,1,1.0,,
272,New York District 16,Democratic,Eliot Engel,89.3%,"203,511",Derickson Lawrence,,,,,,,,,1,1.0,,
273,New York District 17,Democratic,Nita Lowey,100.0%,Pending,Unopposed,,,,,,,,,1,1.0,,
274,New York District 18,Democratic,Sean Maloney,10.4%,"270,023",Phil Oliva,,,,,,,,,1,1.0,,
275,New York District 19,Republican,John Faso,10.0%,"279,784",Zephyr Teachout,,,,,,,,,1,0.0,,
276,New York District 20,Democratic,Paul Tonko,35.2%,"288,412",Francis Vitollo,,,,,,,,,1,1.0,,
277,New York District 21,Republican,Elise Stefanik,37.0%,"248,243",Mike Derrick,,,,,,,,,1,1.0,,
278,New York District 22,Republican,Claudia Tenney,6.5%,"257,035",Kim Myers,,,,,,,,,1,0.0,,
279,New York District 23,Republican,Tom Reed,16.3%,"257,601",John Plumb,,,,,,,,,1,0.0,,
280,New York District 24,Republican,John Katko,22.0%,"279,460",Colleen Deacon,No,,,,,,"“I don’t know if it’s a man-made problem or not,” Katko said. ‘It certainly seems like there have been a lot of changes in the climate lately.”",,1,1.0,,
281,New York District 25,Democratic,Louise Slaughter,12.0%,"303,464",Mark Assini,,,,,,,,,1,1.0,,
282,New York District 26,Democratic,Brian Higgins,48.7%,"260,206",Shelly Schratz,,,,,,,,,1,1.0,,
283,New York District 27,Republican,Chris Collins,35.3%,"306,732",Diana Kastenbaum,,,,,,,,,1,1.0,,
284,North Carolina District 1,Democratic,G.K. Butterfield,39.6%,"346,830",H. Powell Dew Jr.,,,,,,,,,1,1.0,,
285,North Carolina District 10,Republican,Patrick McHenry,26.3%,"347,703",Andy Millard,No,,,,,,“I'm not a scientist. It is not for me to determine. It's as simple as that.”,,1,1.0,,
286,North Carolina District 11,Republican,Mark Meadows,28.3%,"357,102",Rick Bryson,,,,,,,,,1,1.0,,
287,North Carolina District 12,Democratic,Alma Adams,34.0%,"346,693",Leon Threatt,,,,,,,,,1,1.0,,
288,North Carolina District 13,Republican,Ted Budd,12.0%,"350,427",Bruce Davis,,,,,,,,,1,0.0,,
289,North Carolina District 2,Republican,George Holding,13.5%,"386,641",John McNeil,,,,,,,,,1,0.0,,
290,North Carolina District 3,Republican,Walter Jones,34.8%,"318,857",Ernest Reeves,,,,,,,,,1,1.0,,
291,North Carolina District 4,Democratic,David Price,36.4%,"403,832",Sue Googe,,,,,,,,,1,1.0,,
292,North Carolina District 5,Republican,Virginia Foxx,17.0%,"350,540",Josh Brannon,No,,,,,,"“North Carolina Republican Virginia Foxx referenced books by climate-change skeptics and lamented that some environmentalists ‘think that we, human beings, have more impact on the climate and the world than God does.'”",,1,1.0,,
293,North Carolina District 6,Republican,Mark Walker,18.6%,"347,453",Pete Glidewell,No,,,,,,“We can be green without being extreme. Much of the ‘so-called’ science of climate change is contested though it’s made a few politicians quite wealthy. I believe that God provided the earth to us and we have a responsibility to conserve and respect the environment.”,,1,1.0,,
294,North Carolina District 7,Republican,David Rouzer,22.0%,"344,277",J. Wesley Casteen,No,,,,,,"“Well, you know, I don’t necessarily listen to any one person. And I can’t, you know, tick off a whole list of scientists that are pro-sea level rise and a whole list of scientists that aren’t — I’m just coming at it from a common sense standpoint. The earth has been warming and cooling since day one. And you know, the effect on sea level change, what do we know about it?”",,1,1.0,,
295,North Carolina District 8,Republican,Richard Hudson,18.0%,"319,337",Thomas Mills,No,,,,,,"When asked if human activity is contributing to climate change, Hudson responded no.",,1,1.0,,
296,North Carolina District 9,Republican,Robert Pittenger,16.5%,"328,995",Christian Cano,No,,,,,,"“Pittenger doesn’t mind standing his ground, even when it’s lonely. For example, he’s the most prominent skeptic on a legislative commission on climate change. Like a sort of anti-Al Gore, he shows a PowerPoint full of statistics about halocarbons and nitrous oxide, and quotes from scientists who, like him, have tried to debunk the science behind global warming. ‘There are people up there relaxed about the system on both sides of the aisle,’ he said. ‘My job is not to go out there and just ‘kumbaya.'” Pittenger also suggested that snow disproves climate change. “Today, a Congressional hearing on global warming had to be cancelled because of all the March snow outside,” he tweeted.",,1,1.0,,
